,P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),S. Name,S. Constellation,S. Type,P. Disc. Method,P. Disc. Year
1921,Kepler-320 c,2.0,4.0,2.0,1.0,1,94.00549,94.00552,94.00553,Kepler-320,Cyg,F,Primary Transit,2014
1922,Kepler-321 b,2.0,2.0,2.0,1.0,1,424.5038,424.5038,424.5039,Kepler-321,Cyg,G,Primary Transit,2014
1923,Kepler-321 c,2.0,2.0,2.0,1.0,1,113.9845,113.9846,113.9846,Kepler-321,Cyg,G,Primary Transit,2014
1924,Kepler-322 b,2.0,4.0,2.0,3.0,1,821.5853,821.5853,821.5853,Kepler-322,Lyr,G,Primary Transit,2014
1925,Kepler-322 c,2.0,2.0,2.0,1.0,1,230.2712,230.2713,230.2713,Kepler-322,Lyr,G,Primary Transit,2014
1926,Kepler-323 b,2.0,4.0,2.0,3.0,1,2047.269,2047.269,2047.269,Kepler-323,Lyr,G,Primary Transit,2014
1927,Kepler-323 c,2.0,2.0,2.0,1.0,1,758.5342,758.5343,758.5344,Kepler-323,Lyr,G,Primary Transit,2014
1928,Kepler-324 b,2.0,4.0,2.0,3.0,1,184.2961,184.2961,184.2961,Kepler-324,Dra,K,Primary Transit,2014
1929,Kepler-324 c,2.0,3.0,1.0,1.0,1,6.815684,6.815685,6.815685,Kepler-324,Dra,K,Primary Transit,2014
1930,Kepler-325 b,2.0,3.0,1.0,1.0,1,349.6339,349.6339,349.634,Kepler-325,Cyg,G,Primary Transit,2014
1931,Kepler-325 c,2.0,2.0,1.0,1.0,1,89.08132,89.08133,89.08135,Kepler-325,Cyg,G,Primary Transit,2014
1932,Kepler-325 d,2.0,3.0,1.0,1.0,1,20.29177,20.29177,20.29177,Kepler-325,Cyg,G,Primary Transit,2014
1933,Kepler-326 b,2.0,4.0,2.0,1.0,1,380.849,380.849,380.8491,Kepler-326,Cyg,K,Primary Transit,2014
1934,Kepler-326 c,2.0,4.0,2.0,1.0,1,149.9382,149.9382,149.9383,Kepler-326,Cyg,K,Primary Transit,2014
1935,Kepler-326 d,2.0,4.0,2.0,1.0,1,89.52923,89.52924,89.52927,Kepler-326,Cyg,K,Primary Transit,2014
1936,Kepler-327 b,2.0,4.0,2.0,1.0,1,53.35352,53.35353,53.35355,Kepler-327,Cyg,M,Primary Transit,2014
1937,Kepler-327 c,2.0,4.0,2.0,1.0,1,20.3125,20.3125,20.31251,Kepler-327,Cyg,M,Primary Transit,2014
1938,Kepler-327 d,2.0,2.0,2.0,1.0,1,5.539546,5.539546,5.539547,Kepler-327,Cyg,M,Primary Transit,2014
1939,Kepler-328 b,2.0,2.0,2.0,1.0,1,15.61352,15.61352,15.61352,Kepler-328,Lyr,G,Primary Transit,2013
1940,Kepler-328 c,2.0,3.0,1.0,1.0,1,6.026512,6.026514,6.026514,Kepler-328,Lyr,G,Primary Transit,2013
1941,Kepler-329 b,2.0,4.0,2.0,1.0,1,21.41171,21.41172,21.41172,Kepler-329,Cyg,K,Primary Transit,2014
1942,Kepler-329 c,2.0,2.0,2.0,1.0,1,6.239564,6.239564,6.239565,Kepler-329,Cyg,K,Primary Transit,2014
1943,Kepler-330 b,2.0,4.0,2.0,1.0,1,56.68837,56.68838,56.68839,Kepler-330,Cyg,K,Primary Transit,2014
1944,Kepler-330 c,2.0,2.0,2.0,1.0,1,23.69739,23.69739,23.6974,Kepler-330,Cyg,K,Primary Transit,2014
1945,Kepler-331 b,2.0,2.0,2.0,1.0,1,18.20597,18.20597,18.20597,Kepler-331,Lyr,K,Primary Transit,2014
1946,Kepler-331 c,2.0,2.0,2.0,1.0,1,6.976891,6.976891,6.976893,Kepler-331,Lyr,K,Primary Transit,2014
1947,Kepler-331 d,2.0,2.0,2.0,1.0,1,3.04261,3.04261,3.04261,Kepler-331,Lyr,K,Primary Transit,2014
1948,Kepler-332 b,2.0,4.0,2.0,1.0,1,57.2181,57.2181,57.21811,Kepler-332,Lyr,K,Primary Transit,2014
1949,Kepler-332 c,2.0,4.0,2.0,1.0,1,21.57346,21.57346,21.57346,Kepler-332,Lyr,K,Primary Transit,2014
1950,Kepler-332 d,2.0,4.0,2.0,1.0,1,7.848847,7.848848,7.848848,Kepler-332,Lyr,K,Primary Transit,2014
1951,Kepler-333 b,2.0,4.0,2.0,1.0,1,10.95553,10.95554,10.95554,Kepler-333,Cyg,K,Primary Transit,2014
1952,Kepler-333 c,2.0,4.0,2.0,1.0,1,4.549929,4.549929,4.54993,Kepler-333,Cyg,K,Primary Transit,2014
1953,Kepler-334 b,2.0,4.0,2.0,3.0,1,318.4754,318.4754,318.4755,Kepler-334,Lyr,G,Primary Transit,2014
1954,Kepler-334 c,2.0,4.0,2.0,1.0,1,103.5066,103.5066,103.5066,Kepler-334,Lyr,G,Primary Transit,2014
1955,Kepler-334 d,2.0,4.0,2.0,1.0,1,41.98721,41.98721,41.98722,Kepler-334,Lyr,G,Primary Transit,2014
1956,Kepler-335 b,2.0,3.0,1.0,1.0,1,651.2286,651.2287,651.2288,Kepler-335,Cyg,G,Primary Transit,2014
1957,Kepler-335 c,2.0,3.0,1.0,1.0,1,28.90387,28.90387,28.90388,Kepler-335,Cyg,G,Primary Transit,2014
1958,Kepler-336 b,2.0,4.0,2.0,3.0,1,1649.73,1649.731,1649.731,Kepler-336,Lyr,G,Primary Transit,2014
1959,Kepler-336 c,2.0,2.0,2.0,1.0,1,212.2586,212.2586,212.2586,Kepler-336,Lyr,G,Primary Transit,2014
1960,Kepler-336 d,2.0,2.0,2.0,1.0,1,75.75293,75.75294,75.75296,Kepler-336,Lyr,G,Primary Transit,2014
1961,Kepler-337 b,2.0,4.0,2.0,1.0,1,1432.539,1432.539,1432.539,Kepler-337,Cyg,G,Primary Transit,2014
1962,Kepler-337 c,2.0,2.0,2.0,1.0,1,335.4019,335.4019,335.402,Kepler-337,Cyg,G,Primary Transit,2014
1963,Kepler-338 b,2.0,3.0,2.0,1.0,1,225.8051,244.417,264.9971,Kepler-338,Lyr,G,Primary Transit,2014
1964,Kepler-338 c,2.0,2.0,2.0,1.0,1,106.5214,113.0561,120.1033,Kepler-338,Lyr,G,Primary Transit,2014
1965,Kepler-338 d,2.0,3.0,1.0,1.0,1,47.71198,50.63894,53.79546,Kepler-338,Lyr,G,Primary Transit,2014
1966,Kepler-338 e,2.0,2.0,2.0,1.0,1,377.8289,417.058,461.5361,Kepler-338,Lyr,G,TTV,2014
1967,Kepler-339 b,2.0,4.0,2.0,1.0,1,190.8475,190.8475,190.8475,Kepler-339,Cyg,G,Primary Transit,2014
1968,Kepler-339 c,2.0,4.0,2.0,1.0,1,121.2589,121.2589,121.259,Kepler-339,Cyg,G,Primary Transit,2014
1969,Kepler-339 d,2.0,4.0,2.0,1.0,1,69.71545,69.71546,69.71546,Kepler-339,Cyg,G,Primary Transit,2014
1970,Kepler-340 b,2.0,2.0,1.0,3.0,1,328.4397,328.4397,328.4398,Kepler-340,Cyg,F,Primary Transit,2014
1971,Kepler-340 c,2.0,3.0,1.0,1.0,1,186.1337,186.1338,186.1338,Kepler-340,Cyg,F,Primary Transit,2014
1972,Kepler-341 b,2.0,4.0,2.0,3.0,1,338.7378,338.7378,338.7379,Kepler-341,Lyr,F,Primary Transit,2014
1973,Kepler-341 c,2.0,2.0,2.0,1.0,1,190.54,190.54,190.5401,Kepler-341,Lyr,F,Primary Transit,2014
1974,Kepler-341 d,2.0,2.0,2.0,1.0,1,36.81488,36.81488,36.81488,Kepler-341,Lyr,F,Primary Transit,2014
1975,Kepler-341 e,2.0,2.0,2.0,1.0,1,20.82262,20.82262,20.82263,Kepler-341,Lyr,F,Primary Transit,2014
1976,Kepler-342 b,2.0,2.0,2.0,1.0,1,172.0491,172.0491,172.0491,Kepler-342,Cyg,F,Primary Transit,2014
1977,Kepler-342 c,2.0,2.0,2.0,1.0,1,82.36237,82.36238,82.3624,Kepler-342,Cyg,F,Primary Transit,2014
1978,Kepler-342 d,2.0,2.0,2.0,1.0,1,48.13285,48.13285,48.13286,Kepler-342,Cyg,F,Primary Transit,2014
1979,Kepler-342 e,2.0,4.0,2.0,3.0,1,3497.192,3497.192,3497.192,Kepler-342,Cyg,F,Transit,2016
1980,Kepler-343 b,2.0,2.0,2.0,1.0,1,269.4039,269.4039,269.404,Kepler-343,Lyr,G,Primary Transit,2014
1981,Kepler-343 c,2.0,2.0,2.0,1.0,1,74.80597,74.80598,74.80598,Kepler-343,Lyr,G,Primary Transit,2014
1982,Kepler-344 b,2.0,3.0,1.0,1.0,1,40.91345,40.91346,40.91346,Kepler-344,Cyg,G,Primary Transit,2014
1983,Kepler-344 c,2.0,3.0,1.0,1.0,1,4.021697,4.021698,4.021698,Kepler-344,Cyg,G,Primary Transit,2014
1984,Kepler-345 b,2.0,5.0,2.0,3.0,1,32.58208,32.58208,32.58209,Kepler-345,Cyg,K,Primary Transit,2014
1985,Kepler-345 c,2.0,4.0,2.0,1.0,1,23.93785,23.93786,23.93786,Kepler-345,Cyg,K,Primary Transit,2014
1986,Kepler-346 b,2.0,3.0,1.0,3.0,1,245.3052,245.3052,245.3053,Kepler-346,Lyr,F,Primary Transit,2014
1987,Kepler-346 c,2.0,3.0,1.0,1.0,1,43.81319,43.8132,43.81321,Kepler-346,Lyr,F,Primary Transit,2014
1988,Kepler-347 b,2.0,2.0,2.0,1.0,1,101.8598,101.8599,101.8599,Kepler-347,Cyg,F,Primary Transit,2014
1989,Kepler-347 c,2.0,2.0,2.0,1.0,1,36.80326,36.80326,36.80327,Kepler-347,Cyg,F,Primary Transit,2014
1990,Kepler-348 b,2.0,4.0,2.0,1.0,1,418.2644,418.2644,418.2645,Kepler-348,Cyg,F,Primary Transit,2014
1991,Kepler-348 c,2.0,4.0,2.0,1.0,1,126.8586,126.8586,126.8587,Kepler-348,Cyg,F,Primary Transit,2014
1992,Kepler-349 b,2.0,2.0,2.0,1.0,1,231.1254,231.1255,231.1255,Kepler-349,Cyg,G,Primary Transit,2014
1993,Kepler-349 c,2.0,2.0,2.0,1.0,1,88.57188,88.57189,88.57191,Kepler-349,Cyg,G,Primary Transit,2014
1994,Kepler-350 b,2.0,2.0,2.0,1.0,1,218.9228,218.9228,218.9229,Kepler-350,Lyr,F,Primary Transit,2014
1995,Kepler-350 c,2.0,2.0,1.0,1.0,1,130.0055,130.0055,130.0056,Kepler-350,Lyr,F,Primary Transit,2013
1996,Kepler-350 d,2.0,3.0,3.0,1.0,1,78.18585,78.18587,78.18588,Kepler-350,Lyr,F,Primary Transit,2013
1997,Kepler-351 b,2.0,3.0,1.0,1.0,1,14.35292,14.35292,14.35292,Kepler-351,Lyr,G,Primary Transit,2014
1998,Kepler-351 c,2.0,3.0,1.0,1.0,1,7.980021,7.980022,7.980024,Kepler-351,Lyr,G,Primary Transit,2014
1999,Kepler-351 d,2.0,3.0,1.0,1.0,1,2.492044,2.492044,2.492045,Kepler-351,Lyr,G,Transit,2016
2000,Kepler-352 b,2.0,4.0,2.0,3.0,1,55.75179,55.75179,55.7518,Kepler-352,Cyg,K,Primary Transit,2014
2001,Kepler-352 c,2.0,4.0,2.0,1.0,1,28.92894,28.92895,28.92895,Kepler-352,Cyg,K,Primary Transit,2014
2002,Kepler-353 b,2.0,4.0,2.0,3.0,1,20.01168,20.01169,20.01169,Kepler-353,Cyg,K,Primary Transit,2014
2003,Kepler-353 c,2.0,4.0,2.0,1.0,1,12.31962,12.31962,12.31962,Kepler-353,Cyg,K,Primary Transit,2014
2004,Kepler-354 b,2.0,2.0,2.0,1.0,1,64.46387,64.46387,64.46388,Kepler-354,Lyr,K,Primary Transit,2014
2005,Kepler-354 c,2.0,4.0,2.0,1.0,1,14.21373,14.21374,14.21374,Kepler-354,Lyr,K,Primary Transit,2014
2006,Kepler-354 d,2.0,4.0,2.0,1.0,1,8.81857,8.818572,8.818572,Kepler-354,Lyr,K,Primary Transit,2014
2007,Kepler-355 b,2.0,4.0,2.0,1.0,1,144.3892,144.3893,144.3893,Kepler-355,Lyr,F,Primary Transit,2014
2008,Kepler-355 c,2.0,3.0,1.0,1.0,1,46.88448,46.88449,46.88449,Kepler-355,Lyr,F,Primary Transit,2014
2009,Kepler-356 b,2.0,2.0,2.0,1.0,1,691.0911,691.0911,691.0912,Kepler-356,Cyg,F,Primary Transit,2014
2010,Kepler-356 c,2.0,2.0,2.0,1.0,1,169.7811,169.7811,169.7811,Kepler-356,Cyg,F,Primary Transit,2014
2011,Kepler-357 b,2.0,2.0,2.0,1.0,1,100.1631,100.1631,100.1631,Kepler-357,Cyg,K,Primary Transit,2014
2012,Kepler-357 c,2.0,3.0,1.0,1.0,1,27.60746,27.60746,27.60746,Kepler-357,Cyg,K,Primary Transit,2014
2013,Kepler-357 d,2.0,3.0,1.0,1.0,1,6.569293,6.569293,6.569295,Kepler-357,Cyg,K,Primary Transit,2014
2014,Kepler-358 b,2.0,3.0,1.0,1.0,1,22.36971,22.36971,22.36971,Kepler-358,Cyg,G,Primary Transit,2014
2015,Kepler-358 c,2.0,3.0,1.0,1.0,1,6.795931,6.795931,6.795932,Kepler-358,Cyg,G,Primary Transit,2014
2016,Kepler-359 b,2.0,3.0,1.0,1.0,1,51.27042,51.27043,51.27044,Kepler-359,Cyg,F,Primary Transit,2014
2017,Kepler-359 c,2.0,3.0,1.0,1.0,1,17.23575,17.23575,17.23575,Kepler-359,Cyg,F,Primary Transit,2014
2018,Kepler-359 d,2.0,3.0,1.0,1.0,1,11.73873,11.73873,11.73873,Kepler-359,Cyg,F,Primary Transit,2014
2019,Kepler-360 b,2.0,2.0,2.0,1.0,1,699.0027,699.0028,699.0029,Kepler-360,Lyr,F,Primary Transit,2014
2020,Kepler-360 c,2.0,2.0,2.0,1.0,1,240.5812,240.5812,240.5813,Kepler-360,Lyr,F,Primary Transit,2014
2021,Kepler-361 b,2.0,4.0,2.0,1.0,1,315.4726,315.4726,315.4726,Kepler-361,Cyg,F,Primary Transit,2014
2022,Kepler-361 c,2.0,2.0,1.0,1.0,1,25.92483,25.92483,25.92484,Kepler-361,Cyg,F,Primary Transit,2014
2023,Kepler-362 b,2.0,4.0,2.0,3.0,1,68.96526,68.96526,68.96526,Kepler-362,Cyg,G,Primary Transit,2014
2024,Kepler-362 c,2.0,4.0,2.0,1.0,1,12.18227,12.18227,12.18227,Kepler-362,Cyg,G,Primary Transit,2014
2025,Kepler-363 b,2.0,4.0,2.0,3.0,1,845.9781,845.9782,845.9783,Kepler-363,Lyr,G,Primary Transit,2014
2026,Kepler-363 c,2.0,2.0,2.0,1.0,1,312.311,312.3111,312.3112,Kepler-363,Lyr,G,Primary Transit,2014
2027,Kepler-363 d,2.0,2.0,2.0,1.0,1,170.2449,170.2449,170.2449,Kepler-363,Lyr,G,Primary Transit,2014
2028,Kepler-364 b,2.0,4.0,2.0,1.0,1,64.5752,64.57522,64.57523,Kepler-364,Lyr,F,Primary Transit,2014
2029,Kepler-364 c,2.0,2.0,2.0,1.0,1,21.01826,21.01826,21.01826,Kepler-364,Lyr,F,Primary Transit,2014
2030,Kepler-365 b,2.0,2.0,2.0,1.0,1,134.5526,134.5526,134.5527,Kepler-365,Cyg,F,Primary Transit,2014
2031,Kepler-365 c,2.0,2.0,2.0,1.0,1,68.84988,68.8499,68.84991,Kepler-365,Cyg,F,Primary Transit,2014
2032,Kepler-366 b,2.0,4.0,2.0,1.0,1,725.9891,725.9891,725.9893,Kepler-366,Cyg,F,Primary Transit,2014
2033,Kepler-366 c,2.0,2.0,2.0,1.0,1,121.4982,121.4982,121.4982,Kepler-366,Cyg,F,Primary Transit,2014
2034,Kepler-367 b,2.0,4.0,2.0,1.0,1,5.203308,5.203308,5.203308,Kepler-367,Cyg,K,Primary Transit,2014
2035,Kepler-367 c,2.0,4.0,2.0,1.0,1,3.284207,3.284207,3.284208,Kepler-367,Cyg,K,Primary Transit,2014
2036,Kepler-368 b,2.0,3.0,1.0,1.0,1,96.9726,96.9726,96.97261,Kepler-368,Cyg,G,Primary Transit,2014
2037,Kepler-368 c,2.0,3.0,1.0,1.0,1,25.8863,25.8863,25.8863,Kepler-368,Cyg,G,Primary Transit,2014
2038,Kepler-369 b,2.0,4.0,2.0,1.0,1,36.61884,36.61884,36.61885,Kepler-369,Cyg,M,Primary Transit,2014
2039,Kepler-369 c,2.0,4.0,2.0,1.0,1,3.72985,3.72985,3.729851,Kepler-369,Cyg,M,Primary Transit,2014
2040,Kepler-370 b,2.0,2.0,2.0,1.0,1,292.2838,292.2838,292.2838,Kepler-370,Cyg,G,Primary Transit,2014
2041,Kepler-370 c,2.0,2.0,2.0,1.0,1,43.48466,43.48466,43.48467,Kepler-370,Cyg,G,Primary Transit,2014
2042,Kepler-371 b,2.0,2.0,2.0,1.0,1,22.65721,22.65722,22.65722,Kepler-371,Cyg,G,Primary Transit,2014
2043,Kepler-371 c,2.0,2.0,2.0,1.0,1,9.250769,9.250771,9.250771,Kepler-371,Cyg,G,Primary Transit,2014
2044,Kepler-372 b,2.0,4.0,2.0,1.0,1,372.078,372.078,372.0781,Kepler-372,Cyg,F,Primary Transit,2014
2045,Kepler-372 c,2.0,2.0,2.0,1.0,1,88.25007,88.25008,88.2501,Kepler-372,Cyg,F,Primary Transit,2014
2046,Kepler-372 d,2.0,2.0,2.0,1.0,1,51.80414,51.80414,51.80414,Kepler-372,Cyg,F,Primary Transit,2014
2047,Kepler-373 b,2.0,4.0,2.0,1.0,1,197.224,197.224,197.224,Kepler-373,Cyg,G,Primary Transit,2014
2048,Kepler-373 c,2.0,4.0,2.0,1.0,1,44.72198,44.72199,44.722,Kepler-373,Cyg,G,Primary Transit,2014
2049,Kepler-374 b,2.0,4.0,2.0,3.0,1,1127.482,1127.482,1127.482,Kepler-374,Cyg,G,Primary Transit,2014
2050,Kepler-374 c,2.0,4.0,2.0,3.0,1,537.5353,537.5354,537.5355,Kepler-374,Cyg,G,Primary Transit,2014
2051,Kepler-374 d,2.0,4.0,2.0,1.0,1,302.3637,302.3637,302.3637,Kepler-374,Cyg,G,Primary Transit,2014
2052,Kepler-375 b,2.0,4.0,2.0,1.0,1,71.49694,71.49696,71.49696,Kepler-375,Cyg,G,Primary Transit,2014
2053,Kepler-375 c,2.0,3.0,1.0,1.0,1,36.6853,36.6853,36.68531,Kepler-375,Cyg,G,Primary Transit,2014
2054,Kepler-376 b,2.0,4.0,2.0,3.0,1,465.9209,465.9209,465.921,Kepler-376,Lyr,G,Primary Transit,2014
2055,Kepler-376 c,2.0,2.0,2.0,1.0,1,114.4633,114.4633,114.4633,Kepler-376,Lyr,G,Primary Transit,2014
2056,Kepler-377 b,2.0,4.0,2.0,1.0,1,140.7772,140.7772,140.7773,Kepler-377,Cyg,G,Primary Transit,2014
2057,Kepler-377 c,2.0,2.0,2.0,1.0,1,50.49432,50.49433,50.49433,Kepler-377,Cyg,G,Primary Transit,2014
2058,Kepler-378 b,2.0,5.0,2.0,3.0,1,15.15374,15.15374,15.15374,Kepler-378,Cyg,K,Primary Transit,2014
2059,Kepler-378 c,2.0,5.0,2.0,3.0,1,6.898261,6.898262,6.898262,Kepler-378,Cyg,K,Primary Transit,2014
2060,Kepler-379 b,2.0,2.0,2.0,1.0,1,89.51894,89.51894,89.51895,Kepler-379,Cyg,F,Primary Transit,2014
2061,Kepler-379 c,2.0,2.0,2.0,1.0,1,19.46108,19.46108,19.46108,Kepler-379,Cyg,F,Primary Transit,2014
2062,Kepler-380 b,2.0,4.0,2.0,3.0,1,713.2713,713.2714,713.2715,Kepler-380,Dra,F,Primary Transit,2014
2063,Kepler-380 c,2.0,4.0,2.0,1.0,1,293.0931,293.0931,293.0931,Kepler-380,Dra,F,Primary Transit,2014
2064,Kepler-381 b,2.0,4.0,2.0,3.0,1,727.2211,727.2212,727.2214,Kepler-381,Lyr,F,Primary Transit,2014
2065,Kepler-381 c,2.0,4.0,2.0,3.0,1,231.4103,231.4103,231.4103,Kepler-381,Lyr,F,Primary Transit,2014
2066,Kepler-382 b,2.0,4.0,2.0,1.0,1,257.7343,257.7344,257.7344,Kepler-382,Cyg,G,Primary Transit,2014
2067,Kepler-382 c,2.0,2.0,2.0,1.0,1,82.86178,82.86178,82.86179,Kepler-382,Cyg,G,Primary Transit,2014
2068,Kepler-383 b,2.0,4.0,2.0,1.0,1,21.9622,21.9622,21.9622,Kepler-383,Lyr,K,Primary Transit,2014
2069,Kepler-383 c,2.0,4.0,2.0,1.0,1,6.699866,6.699866,6.699867,Kepler-383,Lyr,K,Primary Transit,2014
2070,Kepler-384 b,2.0,4.0,2.0,1.0,1,30.68558,30.68558,30.68559,Kepler-384,Lyr,G,Primary Transit,2014
2071,Kepler-384 c,2.0,4.0,2.0,1.0,1,12.06796,12.06796,12.06796,Kepler-384,Lyr,G,Primary Transit,2014
2072,Kepler-385 b,2.0,3.0,1.0,1.0,1,194.9935,194.9935,194.9935,Kepler-385,Cyg,F,Primary Transit,2014
2073,Kepler-385 c,2.0,3.0,1.0,1.0,1,113.7512,113.7512,113.7513,Kepler-385,Cyg,F,Primary Transit,2014
2074,Kepler-386 b,2.0,4.0,2.0,1.0,1,41.49321,41.49321,41.49322,Kepler-386,Cyg,K,Primary Transit,2014
2075,Kepler-386 c,2.0,2.0,2.0,1.0,1,15.91681,15.91681,15.91682,Kepler-386,Cyg,K,Primary Transit,2014
2076,Kepler-387 b,2.0,4.0,2.0,3.0,1,237.7703,237.7704,237.7704,Kepler-387,Lyr,G,Primary Transit,2014
2077,Kepler-387 c,2.0,4.0,2.0,3.0,1,114.4783,114.4783,114.4784,Kepler-387,Lyr,G,Primary Transit,2014
2078,Kepler-388 b,2.0,5.0,2.0,3.0,1,98.64307,98.64308,98.6431,Kepler-388,Lyr,K,Primary Transit,2014
2079,Kepler-388 c,2.0,4.0,2.0,3.0,1,14.78107,14.78107,14.78107,Kepler-388,Lyr,K,Primary Transit,2014
2080,Kepler-389 b,2.0,4.0,2.0,1.0,1,278.236,278.236,278.2361,Kepler-389,Cyg,G,Primary Transit,2014
2081,Kepler-389 c,2.0,4.0,2.0,1.0,1,38.65411,38.65411,38.65412,Kepler-389,Cyg,G,Primary Transit,2014
2082,Kepler-390 b,2.0,5.0,2.0,3.0,1,92.01738,92.0174,92.0174,Kepler-390,Lyr,K,Primary Transit,2014
2083,Kepler-390 c,2.0,5.0,2.0,3.0,1,38.11131,38.11131,38.11132,Kepler-390,Lyr,K,Primary Transit,2014
2084,Kepler-391 b,2.0,3.0,1.0,3.0,1,1012.76,1012.76,1012.76,Kepler-391,Cyg,K,Primary Transit,2014
2085,Kepler-391 c,2.0,3.0,1.0,1.0,1,262.7134,262.7134,262.7135,Kepler-391,Cyg,K,Primary Transit,2014
2086,Kepler-392 b,2.0,4.0,2.0,3.0,1,409.1697,409.1697,409.1698,Kepler-392,Lyr,G,Primary Transit,2014
2087,Kepler-392 c,2.0,4.0,2.0,3.0,1,164.6803,164.6803,164.6803,Kepler-392,Lyr,G,Primary Transit,2014
2088,Kepler-393 b,2.0,4.0,2.0,1.0,1,302.7241,302.7242,302.7242,Kepler-393,Cyg,F,Primary Transit,2014
2089,Kepler-393 c,2.0,4.0,2.0,1.0,1,163.0371,163.0371,163.0371,Kepler-393,Cyg,F,Primary Transit,2014
2090,Kepler-394 b,2.0,2.0,2.0,1.0,1,279.3529,279.353,279.353,Kepler-394,Cyg,F,Primary Transit,2014
2091,Kepler-394 c,2.0,2.0,2.0,1.0,1,159.0465,159.0465,159.0465,Kepler-394,Cyg,F,Primary Transit,2014
2092,Kepler-395 b,2.0,4.0,2.0,1.0,1,24.94939,24.9494,24.9494,Kepler-395,Cyg,K,Primary Transit,2014
2093,Kepler-395 c,2.0,4.0,2.0,1.0,1,2.963283,2.963283,2.963283,Kepler-395,Cyg,K,Primary Transit,2014
2094,Kepler-396 b,2.0,3.0,3.0,2.0,1,6.051062,6.051062,6.051064,Kepler-396,Cyg,G,Primary Transit,2013
2095,Kepler-396 c,2.0,3.0,1.0,1.0,1,15.87743,15.87743,15.87743,Kepler-396,Cyg,G,Primary Transit,2013
2096,Kepler-397 b,2.0,2.0,2.0,1.0,1,20.34898,20.34898,20.34898,Kepler-397,Cyg,G,Primary Transit,2014
2097,Kepler-397 c,2.0,1.0,1.0,2.0,1,1.831408,1.831408,1.831409,Kepler-397,Cyg,G,Primary Transit,2014
2098,Kepler-398 b,2.0,4.0,2.0,3.0,1,70.27321,70.27322,70.27323,Kepler-398,Lyr,K,Primary Transit,2014
2099,Kepler-398 c,2.0,4.0,2.0,1.0,1,17.97449,17.97449,17.97449,Kepler-398,Lyr,K,Primary Transit,2014
2100,Kepler-398 d,,4.0,2.0,,1,             ,             ,             ,Kepler-398,Lyr,K,Transit,2016
2101,Kepler-399 b,2.0,4.0,2.0,3.0,1,35.83567,35.83567,35.83568,Kepler-399,Cyg,G,Primary Transit,2014
2102,Kepler-399 c,2.0,4.0,2.0,1.0,1,15.82438,15.82438,15.82438,Kepler-399,Cyg,G,Primary Transit,2014
2103,Kepler-399 d,2.0,2.0,2.0,1.0,1,5.580961,5.580961,5.580962,Kepler-399,Cyg,G,Primary Transit,2014
2104,Kepler-400 b,2.0,2.0,2.0,1.0,1,188.1603,188.1603,188.1603,Kepler-400,Lyr,G,Primary Transit,2014
2105,Kepler-400 c,2.0,4.0,2.0,1.0,1,79.31528,79.31528,79.3153,Kepler-400,Lyr,G,Primary Transit,2014
2106,Kepler-401 b,2.0,2.0,2.0,1.0,1,149.2889,149.2889,149.2889,Kepler-401,Cyg,F,Primary Transit,2014
2107,Kepler-401 c,2.0,2.0,2.0,1.0,1,30.70736,30.70737,30.70737,Kepler-401,Cyg,F,Primary Transit,2014
2108,Kepler-401 d,,2.0,2.0,,1,             ,             ,             ,Kepler-401,Cyg,F,Transit,2016
2109,Kepler-402 b,2.0,4.0,2.0,3.0,1,753.2854,753.2856,753.2858,Kepler-402,Lyr,F,Primary Transit,2014
2110,Kepler-402 c,2.0,2.0,2.0,1.0,1,423.7231,423.7232,423.7232,Kepler-402,Lyr,F,Primary Transit,2014
2111,Kepler-402 d,2.0,4.0,2.0,1.0,1,258.8579,258.858,258.858,Kepler-402,Lyr,F,Primary Transit,2014
2112,Kepler-402 e,2.0,4.0,2.0,1.0,1,188.3214,188.3214,188.3214,Kepler-402,Lyr,F,Primary Transit,2014
2113,Kepler-403 b,2.0,4.0,2.0,3.0,1,377.9506,377.9506,377.9506,Kepler-403,Cyg,F,Primary Transit,2014
2114,Kepler-403 c,2.0,2.0,2.0,1.0,1,24.74852,24.74853,24.74853,Kepler-403,Cyg,F,Primary Transit,2014
2115,Kepler-403 d,,4.0,2.0,,1,             ,             ,             ,Kepler-403,Cyg,F,Transit,2016
2116,Kepler-404 b,2.0,4.0,2.0,1.0,1,68.24612,68.24614,68.24615,Kepler-404,Lyr,G,Primary Transit,2014
2117,Kepler-404 c,2.0,2.0,2.0,1.0,1,50.99344,50.99345,50.99346,Kepler-404,Lyr,G,Primary Transit,2014
2118,Kepler-405 b,2.0,2.0,2.0,1.0,1,90.22305,90.22306,90.22306,Kepler-405,Lyr,G,Primary Transit,2014
2119,Kepler-405 c,2.0,3.0,1.0,1.0,1,23.03823,23.03823,23.03823,Kepler-405,Lyr,G,Primary Transit,2014
2120,Kepler-406 b,2.0,4.0,2.0,1.0,1,739.9525,739.9528,739.9529,Kepler-406,Cyg,G,Primary Transit,2014
2121,Kepler-406 c,2.0,4.0,5.0,1.0,1,313.2244,313.2244,313.2245,Kepler-406,Cyg,G,Primary Transit,2014
2122,Kepler-408 b,2.0,5.0,5.0,1.0,1,1331.687,1331.687,1331.687,Kepler-408,Dra,F,Primary Transit,2013
