,P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),S. Name,S. Constellation,S. Type,P. Disc. Method,P. Disc. Year
1325,Kepler-85 b,2.0,2.0,2.0,1.0,1,104.7829,104.783,104.783,Kepler-85,Cyg,G,Primary Transit,2013
1326,Kepler-85 c,2.0,2.0,2.0,1.0,1,60.68494,60.68495,60.68496,Kepler-85,Cyg,G,Primary Transit,2013
1327,Kepler-85 d,2.0,4.0,2.0,1.0,1,38.60717,38.60717,38.60718,Kepler-85,Cyg,G,Primary Transit,2014
1328,Kepler-85 e,2.0,4.0,2.0,1.0,1,24.55723,24.55724,24.55724,Kepler-85,Cyg,G,Primary Transit,2014
1329,Kepler-86 b,3.0,1.0,1.0,2.0,1,0.6610634,1.440523,3.774419,Kepler-86,Cyg,G,Primary Transit,2013
1330,Kepler-87 b,2.0,1.0,1.0,2.0,1,12.27549,13.18331,14.17715,Kepler-87,Cyg,G,Primary Transit,2013
1331,Kepler-87 c,2.0,2.0,1.0,1.0,1,6.140928,6.634057,7.177973,Kepler-87,Cyg,G,Primary Transit,2012
1332,Kepler-88 b,2.0,2.0,1.0,1.0,1,72.64678,81.12296,90.87722,Kepler-88,Lyr,B,Primary Transit,2013
1333,Kepler-88 c,2.0,1.0,1.0,2.0,1,29.34532,32.7916,36.761,Kepler-88,Lyr,B,Radial Velocity,2013
1334,Kepler-89 b,2.0,2.0,2.0,1.0,1,1377.021,1377.021,1377.021,Kepler-89,Cyg,F,Primary Transit,2012
1335,Kepler-89 c,2.0,3.0,1.0,1.0,1,351.2449,351.245,351.245,Kepler-89,Cyg,F,Primary Transit,2012
1336,Kepler-89 d,2.0,1.0,1.0,1.0,1,126.4482,126.4482,126.4482,Kepler-89,Cyg,F,Primary Transit,2012
1337,Kepler-89 e,2.0,3.0,1.0,1.0,1,38.76572,38.76573,38.76574,Kepler-89,Cyg,F,Primary Transit,2012
1338,Kepler-90 b,2.0,4.0,2.0,1.0,1,291.7477,291.7478,291.7479,Kepler-90,Dra,G,Primary Transit,2013
1339,Kepler-90 c,2.0,4.0,2.0,3.0,1,201.693,201.6931,201.6931,Kepler-90,Dra,G,Primary Transit,2013
